County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways,Assigned Program Coordinator
Baltimore City,59817,Family Childcare,Chaya Liebes,Baltimore,21208,Yes,1,Active,1,2,Dec 01 2023,Nov 30 2024,Jun 10 2016,,,No Additional Staff,Amy Brannock
Baltimore City,59777,Family Childcare,Wanda Hill,Baltimore,21230,Yes,1,Active,1,2,Mar 09 2023,Mar 08 2024,Jun 12 2015,,,No Additional Staff,Yvette Dodson
Baltimore City,59765,Family Childcare,Nellie McDaniel,Baltimore,21205,Yes,1,Active,1,2,Nov 27 2023,Nov 26 2024,May 12 2014,,,,Sarah Thistle
Prince George's,59738,Family Childcare,Allison Mouton-Carpenter,Forestville,20747,Yes,2,Active,2,2,Jun 30 2023,Jun 29 2024,Oct 11 2013,,,No Additional Staff,Michelle Gray
Baltimore City,59660,Center,Union Baptist Harvey Johnson,Baltimore,21217,Yes,5,Active,5,3,Feb 22 2023,Feb 22 2024,Nov 22 2013,,,MSDE  | Maryland Accreditation 2025-12-31,Allison Rudoy
Howard,59258,Center,Columbia Academy Preschool 1,Columbia,21045,Yes,1,Active,1,3,Dec 15 2023,Dec 14 2024,Feb 20 2015,,,,Sarah Thistle
Baltimore,59240,Center,Celebree Learning Center Carney,Baltimore,21234,Yes,3,Active,3,3,Nov 29 2023,Nov 28 2024,Mar 06 2015,,,,Laura Suguiyama
Howard,59231,Center,Columbia Academy School,Columbia,21046,Yes,1,Active,1,3,Nov 21 2023,Nov 20 2024,Mar 06 2015,,,,Sarah Thistle
Montgomery,59113,Family Childcare,Luz Parra,Germantown,20874,Yes,5,Active,5,2,Mar 31 2023,Mar 30 2024,May 12 2014,Accredited Program 2024-06-28,Maryland Accreditation 2024-06-28,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2024-06-28,Karina Cortes Hudack
Talbot,58706,Family Childcare,Phyllis Jenkins,Easton,21601,Yes,1,Active,1,2,Jun 30 2023,Jun 29 2024,Dec 09 2014,,,,Trish Miller
Baltimore City,58586,Family Childcare,Yulanda Jonas,Baltimore,21218,Yes,1,Active,1,2,May 05 2023,May 04 2024,Oct 03 2014,,,,Michelle Gray
Baltimore City,58553,Family Childcare,Stephanie Brady,Baltimore,21206,Yes,3,Active,3,2,Apr 18 2023,Apr 17 2024,Nov 22 2013,,,No Additional Staff,Beth Snyder
Prince George's,58325,Family Childcare,Angela Philpott,Temple Hills,20748,Yes,1,Active,1,2,May 22 2023,May 21 2024,Jul 10 2015,,,No Additional Staff,Yvette Dodson
Howard,58302,Center,Mt Hebron Nursery School,Ellicott City,21042,Yes,5,Active,5,3,Aug 02 2023,Aug 01 2024,Nov 27 2012,Quality Business Practices  | Health and Wellness  | Cultural and Linguistic Competency  | Eco-Friendly Program 2024-03-21 | Accredited Program 2025-05-31 | Military Child Care in Your Neighborhood,Maryland Accreditation 2025-05-31,MSDE  | Maryland Accreditation 2025-05-31,Julie Mitchell
Baltimore City,58117,Family Childcare,Robin Moore,Baltimore,21216,Yes,1,Active,1,2,Dec 20 2023,Dec 19 2024,Feb 06 2015,,,,Nancy Gumbel
Worcester,58108,Family Childcare,Lola Harris,Pocomoke,21851,Yes,1,Active,1,2,Jan 18 2023,Jan 18 2024,Mar 20 2015,,,No Additional Staff,Carla Hillery
Prince George's,58072,Family Childcare,Jacqueline Stevenson,Temple Hills,20748,Yes,1,Active,1,2,Dec 05 2023,Dec 04 2024,Jan 26 2016,,,,Ann Evans
Prince George's,57957,Family Childcare,Aziline Jones,Fort Washington,20744,Yes,1,Active,1,2,Oct 03 2023,Oct 02 2024,Nov 08 2013,,,,Sally Gill
Prince George's,57898,Family Childcare,Helen Costa,Riverdale,20737,Yes,1,Active,1,2,Jun 27 2023,Jun 26 2024,Aug 22 2013,,,No Additional Staff,Amy Brannock
Montgomery,57464,Family Childcare,Arianna Worriax,Gaithersburg,20877,Yes,1,Active,1,2,Mar 23 2023,Mar 22 2024,Oct 11 2013,,,,Julie Mitchell
Baltimore City,57385,Family Childcare,Vernetta Burton,Baltimore,21214,Yes,2,Active,2,2,May 30 2023,May 29 2024,Jun 12 2015,,,No Additional Staff,Yvette Dodson
Baltimore,57334,Family Childcare,Annette Welling-Cary,Baltimore,21244,Yes,1,Active,1,2,Jul 10 2023,Jul 09 2024,Mar 28 2014,,,,Karina Cortes Hudack
Baltimore,57330,Center,ABC Care at Sacred Heart,Glyndon,21071,Yes,3,Active,3,2,Jun 26 2023,Jun 25 2024,Oct 24 2013,,,,Rachel Dorf
Harford,57275,Family Childcare,Beverly Guthrie,Edgewood,21040,Yes,0,Inactive,1,2,Dec 09 2022,Dec 09 2023,Dec 16 2013,,,,
Carroll,57249,Family Childcare,Cora Hill,Taneytown,21787,Yes,1,Active,1,2,Jun 06 2023,Jun 05 2024,Apr 18 2014,,,No Additional Staff,Ann Evans
Calvert,57074,Center,"Our Lady Star of the Sea Pre-K, After Care & Before Care",Solomons,20688,Yes,3,Active,3,3,Mar 31 2023,Mar 30 2024,Mar 04 2016,,,,Trish Miller
Dorchester,56967,Family Childcare,Nina Humphreys,Hurlock,21643,Yes,1,Active,1,2,Aug 21 2023,Aug 20 2024,May 13 2015,,,No Additional Staff,Theresa Lutz
Prince George's,56958,Family Childcare,Irene Doyle,Laurel,20707,Yes,1,Active,1,2,Oct 30 2023,Oct 29 2024,May 01 2015,,,,Michelle Gray
Prince George's,56761,Family Childcare,Abiola Adeyemi,Hyattsville,20784,Yes,1,Active,1,2,Oct 09 2023,Oct 08 2024,Aug 23 2014,,,,Beth Snyder
Montgomery,56730,Family Childcare,Luisa Beadling,Germantown,20874,Yes,1,Active,1,2,Apr 03 2023,Apr 02 2024,Apr 03 2015,,,NAFCC  | No Additional Staff,Karina Cortes Hudack
Prince George's,56592,Family Childcare,Theresa Uwandi,Berwyn Heights,20740,Yes,2,Active,2,2,Jun 29 2023,Jun 28 2024,Jul 09 2014,,,No Additional Staff,Wendy Dantzler
Carroll,259201,Family Childcare,Kathie Dubay,Westminster,21157,Yes,1,Active,1,2,Feb 02 2023,Feb 02 2024,May 13 2015,,,,Theresa Lutz
Montgomery,255680,Center,The Nurturey,Gaithersburg,20877,Yes,1,Active,1,3,Jun 16 2023,Jun 15 2024,Aug 22 2013,,,,Theresa Lutz
Harford,56208,Family Childcare,Roseanne Hinch,Abingdon,21009,Yes,3,Active,3,2,Jul 11 2023,Jul 10 2024,Nov 22 2013,,,No Additional Staff,Sally Gill
Montgomery,56057,Center,Dot's Place,Rockville,20853,Yes,1,Active,1,3,Mar 13 2023,Mar 12 2024,Jun 26 2015,,,,Trish Miller
Frederick,56009,Center,Creative Children's Center and Pre-School,Myersville,21773,Yes,5,Active,5,3,Jun 30 2023,Jun 29 2024,Oct 14 2013,,Maryland Accreditation,Maryland Accreditation 2026-06-30,Theresa Lutz
Baltimore City,55787,Family Childcare,Sheila Vinson,Baltimore,21205,Yes,2,Active,2,2,Mar 27 2023,Mar 26 2024,Aug 23 2014,,,No Additional Staff,Nancy Gumbel
Baltimore City,55400,Center,Catholic Charities Head Start Baltimore City @ Hollins Street,Baltimore,21223,Yes,1,Active,1,3,Jul 03 2023,Jul 02 2024,Aug 09 2013,,,,Allison Rudoy
Harford,54772,Center,PlayPlace America,Havre De Grace,21078,Yes,3,Active,3,3,Jul 10 2023,Jul 09 2024,Jul 14 2014,,,,Carla Hillery
Montgomery,54712,Family Childcare,Clarita Aquino,Montgomery Village,20886,Yes,1,Active,1,2,Mar 31 2023,Mar 30 2024,May 27 2016,,,No Additional Staff,Carla Hillery
Calvert,54600,Center,Sunderland Elementary Before and After School Program,Sunderland,20689,Yes,3,Active,3,2,Mar 13 2023,Mar 12 2024,Jul 28 2014,,,,Amy Brannock
Prince George's,54468,Family Childcare,Jacquelynn Spence,Lanham,20706,Yes,1,Active,1,2,May 08 2023,May 07 2024,May 29 2015,,,,Michelle Gray
Caroline,54268,Center,MRDC  Head Start- Federalsburg Site,Federalsburg,21632,Yes,3,Active,3,3,Dec 07 2023,Dec 06 2024,Jul 01 2013,,,,Allison Rudoy
Anne Arundel,54202,Family Childcare,DeSheila Hunt,Annapolis,21409,Yes,1,Active,1,2,Jul 31 2023,Jul 30 2024,Oct 03 2014,,,No Additional Staff,Michelle Gray
Prince George's,54056,Center,World View Early Learning Center,Brandywine,20613,Yes,1,Active,1,3,Sep 11 2023,Sep 10 2024,Jun 26 2015,,,,Trish Miller
Baltimore,53527,Center,Liberty Road Recreation & Parks Learning Center,Owings Mills,21117,Yes,1,Active,1,3,Oct 17 2023,Oct 16 2024,Dec 27 2013,,,,Liana Vega-Hernandez
Baltimore,53525,Center,Play Centers at Warren Elementary School,Cockeysville,21030,Yes,3,Active,3,2,Oct 18 2023,Oct 17 2024,Dec 27 2013,,,,Theresa Lutz
Howard,53524,LOC,St. Augustine,Elkridge,21075,Yes,5,Active,5,3,Nov 21 2023,Nov 20 2024,Jan 12 2018,,Maryland Accreditation 2026-06-30,AdvancED  | Maryland Accreditation 2026-06-30,Trish Miller
Carroll,53504,Center,Little People's Place,Westminster,21158,Yes,5,Active,5,3,Jul 14 2023,Jul 13 2024,Aug 09 2013,Health and Wellness  | Cultural and Linguistic Competency  | Asthma & Allergy Friendly  | Eco-Friendly Program 2024-07-13 | Accredited Program 2026-07-31,,MSDE  | Maryland Accreditation 2026-07-31,Amy Brannock
Talbot,53488,Center,Critchlow Adkins Children's Centers - White Marsh Site,Trappe,21673,Yes,5,Active,5,3,Nov 06 2023,Nov 05 2024,Jan 24 2013,,,MSDE  | Maryland Accreditation 2024-01-31,Jennifer Blandford
Calvert,53474,Center,Greenhouse Early Learning Center,Huntingtown,20639,Yes,1,Active,1,3,Nov 15 2023,Nov 14 2024,Dec 22 2014,,,,Nancy Gumbel
Saint Mary's,53473,Family Childcare,Bridgette Lawrence,California,20619,Yes,3,Active,3,2,Feb 06 2023,Feb 06 2024,Nov 27 2012,,,No Additional Staff,Michelle Gray
Anne Arundel,53360,Center,Bodkin Elementary School Age Child Care,Pasadena,21122,Yes,3,Active,3,2,May 31 2023,May 30 2024,Mar 28 2014,Health and Wellness,,,Jennifer Blandford
Baltimore,53337,LOC,Saint Agnes School Extended Care,Baltimore,21229,Yes,1,Active,1,3,Jul 12 2023,Jul 11 2024,Jan 19 2018,,,AdvancED,Theresa Lutz
Harford,53326,Center,KinderCare-000822,Abingdon,21009,Yes,1,Active,1,3,Nov 14 2023,Nov 13 2024,Sep 28 2013,Accredited Program 2028-10-01,,National Association for the Education of Young Children (NAEYC),Rachel Dorf
Carroll,53297,Center,Wee Care Best - Finksburg,Finksburg,21048,Yes,3,Active,3,3,Jul 14 2023,Jul 13 2024,Aug 09 2013,,,,Julie Mitchell
Montgomery,53084,Family Childcare,Kimber Demers,Rockville,20851,Yes,1,Active,1,2,Nov 02 2023,Nov 01 2024,Jan 08 2016,,,,Theresa Lutz
Baltimore,52900,Family Childcare,Bernice Lapps-Bowers,Randallstown,21133,Yes,1,Active,1,2,Mar 02 2023,Mar 01 2024,Dec 16 2013,,,,Trish Miller
Montgomery,52867,Center,Bar-T at Fields Road Elementary School,Gaithersburg,20878,Yes,3,Active,3,2,May 03 2023,May 02 2024,Dec 16 2013,,,,Amy Brannock
Anne Arundel,52815,Family Childcare,Maria McNeill,Glen Burnie,21060,Yes,1,Active,1,2,Jan 20 2023,Jan 20 2024,Mar 20 2015,,,,Michelle Gray
Prince George's,52761,Family Childcare,Clarissa Agnew,Landover,20785,Yes,1,Active,1,2,May 08 2023,May 07 2024,Feb 20 2015,,,,Liana Vega-Hernandez
Harford,52610,Family Childcare,Judy Futch,Belcamp,21017,Yes,1,Active,1,2,Feb 20 2023,Feb 20 2024,May 29 2015,,,,Theresa Lutz
Montgomery,52528,Family Childcare,Patricia Brown,Damascus,20872,Yes,1,Active,1,2,Jan 26 2023,Jan 26 2024,Jun 12 2015,,,,Amy Brannock
Anne Arundel,52475,Family Childcare,Ruth Cookus,Glen Burnie,21061,Yes,1,Active,1,2,Jan 23 2023,Jan 23 2024,Mar 03 2017,,,No Additional Staff,Trish Miller
Calvert,51910,Family Childcare,Susan Richard,Lusby,20657,Yes,1,Active,1,2,Jun 30 2023,Jun 29 2024,Dec 09 2016,,,,Theresa Lutz
Prince George's,51891,Center,Redeem Christian Academy,Temple Hills,20748,Yes,1,Active,1,2,Aug 09 2023,Aug 08 2024,Aug 22 2013,,,,Trish Miller
Montgomery,51568,Center,Executive Child Development Center,Rockville,20852,Yes,0,Active,1,3,Jun 27 2023,Jun 26 2024,Jul 01 2013,,,,Amy Brannock
Prince George's,51542,Family Childcare,Linda Neal,Temple Hills,20748,Yes,1,Active,1,2,Mar 06 2023,Mar 05 2024,Mar 24 2017,,,,Yvette Dodson
Calvert,51075,Center,Plum Point Elementary Before and After School Program,Huntingtown,20639,Yes,3,Active,3,2,Sep 12 2023,Sep 11 2024,Jul 14 2014,,,,Amy Brannock
Anne Arundel,51023,Center,Creative Garden LC Annapolis,Annapolis,21401,Yes,1,Active,1,3,Aug 29 2023,Aug 28 2024,Aug 09 2013,,,,Sarah Thistle
Calvert,50906,Center,Patuxent Appeal Campus Before and After School Program,Lusby,20657,Yes,3,Active,3,2,Feb 27 2023,Feb 27 2024,Jul 14 2014,,,,Amy Brannock
Montgomery,50766,Center,Shady Grove Metro Kidstop - 073287,Rockville,20855,Yes,1,Active,1,3,Feb 01 2023,Feb 01 2024,May 12 2014,,,National Association for the Education of Young Children (NAEYC),Rachel Dorf
Baltimore,50702,Center,Pauline Mash School for Early Childhood Education,Baltimore,21208,Yes,1,Active,1,3,Jan 09 2023,Jan 09 2024,Apr 18 2014,,,,Rachel Dorf
Charles,257047,Family Childcare,Rebecca Hancock,La Plata,20646,Yes,5,Active,5,2,Oct 25 2023,Oct 24 2024,Dec 04 2012,,,NAFCC  | National Association for Family Child Care (NAFCC) 2026-04-01,Sally Gill
Baltimore,50301,Center,Middle River Baptist Church Child Development Center,Baltimore,21220,Yes,1,Active,1,3,Aug 10 2023,Aug 09 2024,Jul 08 2013,,,,Jennifer Blandford
Montgomery,50155,Center,Millian Methodist Preschool,Rockville,20853,Yes,1,Active,1,3,Sep 05 2023,Sep 04 2024,Nov 26 2014,,,,Ann Evans
Baltimore City,49995,Center,Kiddie Korral Learning Center,Baltimore,21215,Yes,3,Active,3,3,Feb 10 2023,Feb 10 2024,Oct 04 2014,,,,Trish Miller
Calvert,49581,Center,Sleepy Hollow Day Care Center,Huntingtown,20639,Yes,1,Active,1,3,Nov 06 2023,Nov 05 2024,Oct 04 2014,,,,Trish Miller
Prince George's,49530,Family Childcare,Janice Franklin,Upper Marlboro,20774,Yes,1,Active,1,2,Jul 06 2023,Jul 05 2024,Jun 12 2015,,,,Nancy Gumbel
Montgomery,49418,Center,"Robin's Nest Child Care, LLC",North Potomac,20878,Yes,3,Active,3,3,May 08 2023,May 07 2024,Feb 11 2014,,,,Rachel Dorf
Charles,49370,Center,Childrens Center for Discovery Waldorf,Waldorf,20601,Yes,1,Active,1,3,Apr 04 2023,Apr 03 2024,Mar 20 2015,,,,Julie Mitchell
Harford,49052,Center,Children's Center of North Harford,Street,21154,Yes,1,Active,1,3,Nov 30 2023,Nov 29 2024,Mar 28 2014,,,,Julie Mitchell
Calvert,48983,Center,Mutual Elementary Before and After School Program,Port Republic,20676,Yes,3,Active,3,2,Sep 12 2023,Sep 11 2024,Jul 14 2014,,,,Amy Brannock
Montgomery,48478,Center,Beth Sholom Early Childhood Center,Potomac,20854,Yes,3,Active,3,3,Jun 02 2023,Jun 01 2024,Apr 17 2015,,,,Trish Miller
Howard,48410,Center,Running Brook Children's Nursery School,Columbia,21044,Yes,3,Active,3,3,Dec 28 2023,Dec 27 2024,Aug 22 2013,Health and Wellness,,,Theresa Lutz
Washington,48386,Family Childcare,Kelly Hose,Hagerstown,21740,Yes,1,Active,1,2,Mar 31 2023,Mar 30 2024,Jul 10 2015,,,,Yvette Dodson
Howard,48321,Center,Wilde Lake Childrens Nursery,Columbia,21044,Yes,2,Active,2,3,Oct 30 2023,Oct 29 2024,Dec 10 2018,,,,Ann Evans
Montgomery,48033,Center,Optimal Learning Center at  Sally K. Ride Elementary School,Germantown,20876,Yes,0,Active,5,3,Jul 24 2023,Jul 23 2024,Dec 04 2012,Accredited Program  | Eco-Friendly Program 2024-02-28,,National Association for the Education of Young Children (NAEYC),Julie Mitchell
Prince George's,47990,Family Childcare,Camela Hughes,Adelphi,20783,Yes,1,Active,1,2,Sep 01 2023,Aug 31 2024,Oct 03 2014,,,No Additional Staff,Ann Evans
Baltimore City,47958,Family Childcare,Deborah Simon,Baltimore,21206,Yes,1,Active,1,2,Aug 01 2023,Jul 31 2024,Nov 22 2013,,,,Beth Snyder
Baltimore,47552,Family Childcare,Donna Rene Maygers,Baltimore,21234,Yes,1,Active,1,2,Sep 01 2023,Aug 31 2024,Jan 17 2015,,,,Theresa Lutz
Carroll,47525,Center,"Mt Airy Day Care and Learning Center, Inc.",Mount Airy,21771,Yes,4,Active,4,3,Feb 23 2023,Feb 23 2024,Nov 27 2012,,,MSDE  | Maryland Accreditation 2026-05-31,Jennifer Blandford
Anne Arundel,46923,Family Childcare,Linda Church,Odenton,21113,Yes,3,Active,3,2,Nov 07 2023,Nov 06 2024,Jul 26 2013,Health and Wellness  | Quality Business Practices,,No Additional Staff,Amy Brannock
Prince George's,46905,Family Childcare,Aicha Abdulghani,New Carrollton,20784,Yes,1,Active,1,2,Apr 13 2023,Apr 12 2024,Jul 28 2014,,,No Additional Staff,Beth Snyder
Frederick,46808,Family Childcare,Jeanett Jones,Frederick,21703,Yes,1,Active,1,2,Apr 10 2023,Apr 09 2024,Jul 28 2017,,,,Sally Gill
Frederick,46625,Center,Carroll Manor Elementary Before and After School Enrichment,Adamstown,21710,Yes,2,Active,2,2,Mar 17 2023,Mar 16 2024,Mar 11 2014,,,,Jennifer Blandford
Somerset,46531,Center,Princess Anne Child Development  Center,Princess Anne,21853,Yes,3,Active,3,3,Mar 28 2023,Mar 27 2024,Nov 23 2013,,,MSDE,Allison Rudoy
Washington,46009,Center,YMCA Fountain Rock ASC,Hagerstown,21740,Yes,2,Active,2,2,Jul 07 2023,Jul 06 2024,Nov 26 2014,,,,Sarah Thistle
Anne Arundel,45983,Family Childcare,Rhonda Hall,Glen Burnie,21061,Yes,5,Active,5,2,Sep 26 2023,Sep 25 2024,Dec 04 2012,Quality Business Practices  | Health and Wellness,National Association for Family Child Care (NAFCC) 2025-07-01,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-07-01,Sally Gill
Baltimore City,45686,Family Childcare,Karen Berry,Baltimore,21229,Yes,1,Active,1,2,Mar 17 2023,Mar 16 2024,Jul 01 2013,,,,Nancy Gumbel
Talbot,45445,Center,Critchlow Adkins Children's Centers - Cordova Site,Cordova,21625,Yes,0,Active,5,3,Aug 31 2023,Aug 30 2024,Dec 04 2012,,,MSDE,Jennifer Blandford
Howard,45396,Center,Celebree Learning Center,Ellicott City,21042,Yes,1,Active,1,3,Jul 28 2023,Jul 27 2024,Mar 06 2015,,,MSDE  | Maryland Accreditation 2026-03-31,Laura Suguiyama
Wicomico,45362,Center,New Creations Learning Center,Fruitland,21826,Yes,3,Active,3,3,Mar 08 2023,Mar 07 2024,Nov 08 2013,,,,Laura Suguiyama
Baltimore,45276,Center,Play Centers at Cromwell Valley,Baltimore,21286,Yes,3,Active,3,2,Mar 13 2023,Mar 12 2024,Dec 27 2013,,,,Theresa Lutz
Harford,45187,Center,YMCA at Meadowvale Elementary School,Havre De Grace,21078,Yes,2,Active,2,2,Jul 14 2023,Jul 13 2024,Aug 23 2014,,,,Liana Vega-Hernandez
Harford,45184,Center,YMCA at Church Creek Elementary School,Belcamp,21017,Yes,2,Active,2,2,Jul 14 2023,Jul 13 2024,Aug 23 2014,,,,Liana Vega-Hernandez
Montgomery,45099,Center,Kids After Hours at Forest Knolls Elementary School,Silver Spring,20901,Yes,3,Active,3,2,Jul 21 2023,Jul 20 2024,Mar 28 2014,,,,Rachel Dorf
Anne Arundel,44911,Center,Maryland City School Age Child Care,Laurel,20724,Yes,3,Active,3,2,Feb 23 2023,Feb 23 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Howard,44903,Center,Manor Woods Extended Recreation Program,Ellicott City,21042,Yes,1,Active,1,2,Jul 11 2023,Jul 10 2024,Mar 11 2014,,,,Theresa Lutz
Anne Arundel,44894,Center,YMCA at Shipleys Choice Elementary School,Millersville,21108,Yes,1,Active,1,2,Aug 22 2023,Aug 21 2024,Aug 23 2014,,,,Liana Vega-Hernandez
Anne Arundel,44893,Center,Oak Hill School Age Child Care,Severna Park,21146,Yes,3,Active,3,2,Apr 21 2023,Apr 20 2024,Mar 28 2014,Health and Wellness,,,Jennifer Blandford
Montgomery,44892,Center,Bar-T at Germantown Elementary School,Germantown,20874,Yes,3,Active,3,2,May 03 2023,May 02 2024,Nov 22 2013,,,,Amy Brannock
Anne Arundel,44891,Center,Benfield Elementary School Age Child Care,Severna Park,21146,Yes,3,Active,3,2,Feb 23 2023,Feb 23 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Frederick,44818,Center,The Carl and Norma Miller Children's Center at FCC,Frederick,21702,Yes,1,Active,1,3,Jul 31 2023,Jul 30 2024,Apr 17 2013,Accredited Program 2027-02-01,,National Association for the Education of Young Children (NAEYC),Jennifer Blandford
Baltimore,44759,Center,Play Centers at Jacksonville Elementary School,Phoenix,21131,Yes,3,Active,3,2,Sep 15 2023,Sep 14 2024,Dec 27 2013,,,,Theresa Lutz
Howard,44539,Center,Head Start Ellicott City,Ellicott City,21043,Yes,5,Active,5,3,Nov 02 2023,Nov 01 2024,Mar 28 2014,,National Association for the Education of Young Children (NAEYC) 2027-06-01,MSDE  | National Association for the Education of Young Children (NAEYC)  | Maryland Accreditation 2025-11-30,Allison Rudoy
Baltimore,43804,Center,Providence Child Care and Learning Center,Towson,21286,Yes,1,Active,1,3,Jul 12 2023,Jul 11 2024,May 12 2014,,,,Rachel Dorf
Baltimore City,43712,Family Childcare,Susan Thomas,Baltimore,21202,Yes,1,Active,1,2,Oct 03 2023,Oct 02 2024,Jul 09 2014,,,,Nancy Gumbel
Baltimore City,43704,Family Childcare,Beverly Vines,Baltimore,21231,Yes,1,Active,1,2,Jul 19 2023,Jul 18 2024,Mar 06 2015,,,,Trish Miller
Prince George's,43663,Center,KinderCare - 073276,Mitchellville,20721,Yes,3,Active,3,3,Sep 11 2023,Sep 10 2024,Sep 28 2013,Accredited Program 2024-03-01,National Association for the Education of Young Children (NAEYC) 2024-03-01,National Association for the Education of Young Children (NAEYC),Rachel Dorf
Baltimore,43614,Family Childcare,Theresa Swayne,Baltimore,21222,Yes,3,Active,3,2,Feb 22 2023,Feb 22 2024,Aug 22 2013,,,No Additional Staff,Michelle Gray
Montgomery,258222,Center,Woodlin Child Development Center,Silver Spring,20901,Yes,4,Active,4,3,Dec 14 2023,Dec 13 2024,Nov 15 2013,Health and Wellness  | Asthma & Allergy Friendly  | Accredited Program 2024-11-30,Maryland Accreditation 2024-11-30,MSDE  | Maryland Accreditation 2024-11-30,Laura Suguiyama
Howard,43466,Family Childcare,Laurie Alcock,Ellicott City,21043,Yes,5,Active,5,2,Apr 18 2023,Apr 17 2024,Mar 18 2016,Accredited Program 2025-11-01,National Association for Family Child Care (NAFCC) 2025-11-01,No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-11-01,Michelle Gray
Montgomery,43101,Center,Bar-T @ Burning Tree ES,Bethesda,20817,Yes,3,Active,3,2,May 03 2023,May 02 2024,Dec 16 2013,,,,Amy Brannock
Calvert,42802,Center,Prime Time Children's Center,Owings,20736,Yes,1,Active,1,3,Sep 20 2023,Sep 19 2024,Nov 27 2012,Quality Business Practices  | Health and Wellness,,MSDE  | NAC  | National Accreditation Commission (NAC) 2026-01-17,Julie Mitchell
Queen Anne's,42471,Family Childcare,Dwane Green,Grasonville,21638,Yes,2,Active,2,2,Sep 14 2023,Sep 13 2024,Mar 06 2015,,,No Additional Staff,Sally Gill
Anne Arundel,41992,Family Childcare,Diane Harrold,Arnold,21012,Yes,5,Active,5,2,Feb 24 2023,Feb 24 2024,Dec 04 2012,,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2026-04-01,Michelle Gray
Harford,41681,Family Childcare,Kimberly Crehan,Belcamp,21017,Yes,1,Active,1,2,Aug 14 2023,Aug 13 2024,Oct 01 2016,,,,Nancy Gumbel
Montgomery,41615,Center,Cedar Lane Nursery School,Bethesda,20814,Yes,5,Active,5,3,Mar 28 2023,Mar 27 2024,Dec 04 2012,Accredited Program,National Association for the Education of Young Children (NAEYC) 2025-04-01,MSDE  | National Association for the Education of Young Children (NAEYC)  | Maryland Accreditation 2024-10-31,Julie Mitchell
Montgomery,41597,Family Childcare,Patricia Mohamed,Gaithersburg,20877,Yes,5,Active,5,2,Mar 23 2023,Mar 22 2024,Dec 04 2012,,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2024-06-28,Sally Gill
Anne Arundel,41451,Center,Waugh Chapel School Age Child Care,Odenton,21113,Yes,3,Active,3,2,May 31 2023,May 30 2024,Jan 24 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41447,Center,Severna Park Elementary School Age Child Care,Severna Park,21146,Yes,3,Active,3,2,Feb 24 2023,Feb 24 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41445,Center,Davidsonville Elementary School Age Child Care,Davidsonville,21035,Yes,3,Active,3,2,Feb 23 2023,Feb 23 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41438,Center,Quarterfield School Age Child Care,Severn,21144,Yes,3,Active,3,2,May 31 2023,May 30 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41435,Center,Four Seasons School Age Child Care,Gambrills,21054,Yes,3,Active,3,2,May 31 2023,May 30 2024,Jan 27 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41433,Center,High Point Elementary School Age Child Care,Pasadena,21122,Yes,3,Active,3,2,Apr 21 2023,Apr 20 2024,Mar 28 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41432,Center,Broadneck Elementary School Age Child Care,Arnold,21012,Yes,3,Active,3,2,Feb 23 2023,Feb 23 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41427,Center,Brock Bridge School Age Childcare,Laurel,20724,Yes,3,Active,3,2,Feb 23 2023,Feb 23 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41425,Center,Crofton Meadows  School Age Child Care,Crofton,21114,Yes,3,Active,3,2,Apr 21 2023,Apr 20 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41424,Center,Edgewater Elementary School Age Child Care,Edgewater,21037,Yes,3,Active,3,2,May 31 2023,May 30 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41423,Center,Severn School Age Child Care,Severn,21144,Yes,3,Active,3,2,May 31 2023,May 30 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Anne Arundel,41151,Family Childcare,Mary Ann Hicks,Annapolis,21401,Yes,1,Active,1,2,Sep 06 2023,Sep 05 2024,Oct 30 2015,,,,Yvette Dodson
Anne Arundel,40790,Family Childcare,Martha Scannello-Dove,Glen Burnie,21061,Yes,2,Active,2,2,Jul 10 2023,Jul 09 2024,Apr 25 2014,,,No Additional Staff,Nancy Gumbel
